Time, Altitude, Velocity, Temperature (F), Voltage
0.00, 1, 0, 88.16, 9.20
0.05, 1, 13, 88.14, 9.20
0.10, 3, -1, 88.14, 9.20
0.15, 1, 4, 88.16, 9.20
0.20, 2, -0, 88.12, 9.20
0.25, 2, -3, 88.14, 9.20
0.30, 2, -3, 88.12, 9.20
0.35, 0, -4, 88.16, 9.20
0.40, 1, -3, 88.16, 9.20
0.45, 0, -1, 88.16, 9.20
0.50, 2, 3, 88.12, 9.20
0.55, 1, 12, 88.16, 9.20
0.60, -2, 20, 88.16, 9.20
0.65, 5, 32, 88.14, 9.20
0.70, 3, 49, 88.14, 9.20
0.75, 9, 67, 88.14, 9.20
0.80, 16, 86, 88.12, 9.20
0.85, 8, 107, 88.14, 9.20
0.90, 26, 125, 88.14, 9.20
0.95, 37, 143, 88.14, 9.20
1.00, 42, 161, 88.16, 9.20
1.05, 40, 182, 88.12, 9.20
1.10, 56, 211, 88.14, 9.20
1.15, 73, 250, 88.16, 9.20
1.20, 87, 307, 88.14, 9.20
1.25, 81, 373, 88.14, 9.20
1.30, 125, 435, 88.14, 9.20
1.35, 150, 485, 88.14, 9.20
1.40, 180, 509, 88.14, 9.20
1.45, 216, 511, 88.14, 9.20
1.50, 234, 511, 88.14, 9.20
1.55, 252, 519, 88.14, 9.20
1.60, 266, 547, 88.12, 9.20
1.65, 295, 587, 88.14, 9.20
1.70, 349, 613, 88.14, 9.20
1.75, 385, 620, 88.12, 9.20
1.80, 410, 599, 88.14, 9.20
1.85, 447, 568, 88.16, 9.20
1.90, 456, 558, 88.12, 9.20
1.95, 470, 577, 88.14, 9.20
2.00, 506, 621, 88.14, 9.20
2.05, 548, 680, 88.16, 9.20
2.10, 594, 735, 88.12, 9.20
2.15, 631, 769, 88.12, 9.20
2.20, 668, 789, 88.12, 9.20
2.25, 703, 797, 88.14, 9.20
2.30, 742, 794, 88.12, 9.20
2.35, 804, 786, 88.14, 9.20
2.40, 828, 776, 88.12, 9.20
2.45, 862, 757, 88.14, 9.20
2.50, 899, 725, 88.14, 9.20
2.55, 940, 684, 88.14, 9.20
2.60, 981, 622, 88.12, 9.20
2.65, 1015, 554, 88.12, 9.20
2.70, 1018, 494, 88.14, 9.20
2.75, 1038, 451, 88.12, 9.20
2.80, 1057, 436, 88.12, 9.20
2.85, 1081, 449, 88.12, 9.20
2.90, 1105, 476, 88.12, 9.20
2.95, 1131, 506, 88.12, 9.20
3.00, 1159, 530, 88.12, 9.20
3.05, 1186, 541, 88.12, 9.20
3.10, 1217, 541, 88.12, 9.20
3.15, 1246, 532, 88.12, 9.20
3.20, 1271, 521, 88.12, 9.20
3.25, 1290, 513, 88.12, 9.20
3.30, 1317, 509, 88.12, 9.20
3.35, 1341, 511, 88.12, 9.20
3.40, 1370, 512, 88.11, 9.20
3.45, 1399, 511, 88.12, 9.20
3.50, 1422, 509, 88.12, 9.20
3.55, 1445, 506, 88.12, 9.20
3.60, 1468, 505, 88.12, 9.20
3.65, 1496, 506, 88.12, 9.20
3.70, 1523, 507, 88.12, 9.20
3.75, 1548, 507, 88.12, 9.20
3.80, 1573, 504, 88.12, 9.20
3.85, 1598, 499, 88.11, 9.20
3.90, 1622, 494, 88.12, 9.20
3.95, 1646, 486, 88.12, 9.20
4.00, 1673, 481, 88.12, 9.20
4.05, 1695, 479, 88.11, 9.20
4.10, 1716, 478, 88.12, 9.20
4.15, 1743, 480, 88.11, 9.20
4.20, 1761, 483, 88.11, 9.20
4.25, 1793, 480, 88.11, 9.20
4.30, 1820, 474, 88.09, 9.20
4.35, 1837, 465, 88.11, 9.20
4.40, 1862, 453, 88.11, 9.20
4.45, 1880, 447, 88.09, 9.20
4.50, 1905, 446, 88.09, 9.20
4.55, 1927, 447, 88.11, 9.20
4.60, 1946, 451, 88.11, 9.20
4.65, 1973, 450, 88.09, 9.20
4.70, 1999, 445, 88.09, 9.20
4.75, 2018, 437, 88.11, 9.20
4.80, 2037, 429, 88.09, 9.20
4.85, 2057, 425, 88.09, 9.20
4.90, 2082, 425, 88.09, 9.20
4.95, 2099, 430, 88.09, 9.20
5.00, 2120, 434, 88.09, 9.20
5.05, 2149, 434, 88.09, 9.20
5.10, 2169, 433, 88.09, 9.20
5.15, 2187, 429, 88.09, 9.20
5.20, 2209, 424, 88.09, 9.20
5.25, 2231, 424, 88.09, 9.20
5.30, 2249, 422, 88.09, 9.20
5.35, 2276, 416, 88.09, 9.20
5.40, 2294, 409, 88.07, 9.20
5.45, 2314, 397, 88.07, 9.20
5.50, 2336, 384, 88.09, 9.20
5.55, 2352, 378, 88.07, 9.20
5.60, 2366, 377, 88.09, 9.20
5.65, 2385, 381, 88.07, 9.20
5.70, 2408, 386, 88.09, 9.20
5.75, 2429, 387, 88.09, 9.20
5.80, 2450, 383, 88.07, 9.20
5.85, 2467, 375, 88.07, 9.20
5.90, 2485, 369, 88.07, 9.20
5.95, 2498, 368, 88.07, 9.20
6.00, 2520, 374, 88.09, 9.20
6.05, 2537, 385, 88.09, 9.20
6.10, 2559, 396, 88.07, 9.20
6.15, 2581, 402, 88.07, 9.20
6.20, 2602, 404, 88.07, 9.20
6.25, 2620, 403, 88.07, 9.20
6.30, 2641, 402, 88.07, 9.20
6.35, 2659, 400, 88.07, 9.20
6.40, 2680, 396, 88.07, 9.20
6.45, 2700, 388, 88.07, 9.20
6.50, 2722, 372, 88.07, 9.20
6.55, 2746, 353, 88.07, 9.20
6.60, 2751, 338, 88.07, 9.20
6.65, 2765, 327, 88.07, 9.20
6.70, 2784, 323, 88.05, 9.20
6.75, 2801, 328, 88.07, 9.20
6.80, 2821, 335, 88.07, 9.20
6.85, 2835, 341, 88.07, 9.20
6.90, 2850, 349, 88.07, 9.20
6.95, 2866, 350, 88.07, 9.20
7.00, 2892, 348, 88.07, 9.20
