Time, Altitude, Velocity, Temperature (F), Voltage
0.00, 2, 0, 86.99, 8.80
0.05, 1, -13, 86.99, 8.80
0.10, 1, -3, 86.99, 8.80
0.15, 1, -4, 86.99, 8.80
0.20, 1, 1, 86.97, 8.80
0.25, 1, 3, 86.99, 8.80
0.30, 2, 3, 86.97, 8.80
0.35, 2, 2, 86.97, 8.80
0.40, 2, 0, 86.99, 8.80
0.45, 2, -0, 86.97, 8.80
0.50, 2, 1, 86.97, 8.80
0.55, 1, 7, 86.99, 8.80
0.60, -1, 16, 86.99, 8.80
0.65, 3, 31, 86.99, 8.80
0.70, 5, 46, 86.97, 8.80
0.75, 9, 63, 86.97, 8.80
0.80, 11, 83, 86.99, 8.80
0.85, 15, 101, 86.97, 8.80
0.90, 27, 120, 86.99, 8.80
0.95, 24, 140, 86.99, 8.80
1.00, 39, 158, 86.97, 8.80
1.05, 53, 179, 86.97, 8.80
1.10, 55, 212, 86.97, 8.80
1.15, 61, 255, 86.97, 8.80
1.20, 76, 310, 86.97, 8.80
1.25, 99, 371, 86.97, 8.80
1.30, 122, 423, 86.97, 8.80
1.35, 152, 458, 86.95, 8.80
1.40, 176, 469, 86.97, 8.80
1.45, 202, 468, 86.95, 8.80
1.50, 219, 466, 86.94, 8.80
1.55, 248, 480, 86.95, 8.80
1.60, 258, 519, 86.94, 8.80
1.65, 275, 574, 86.95, 8.80
1.70, 326, 623, 86.94, 8.80
1.75, 370, 654, 86.94, 8.80
1.80, 408, 654, 86.94, 8.80
1.85, 430, 630, 86.94, 8.80
1.90, 466, 602, 86.92, 8.80
1.95, 480, 590, 86.94, 8.80
2.00, 509, 599, 86.94, 8.80
2.05, 533, 630, 86.92, 8.80
2.10, 590, 675, 86.90, 8.80
2.15, 608, 718, 86.92, 8.80
2.20, 658, 756, 86.92, 8.80
2.25, 677, 780, 86.94, 8.80
2.30, 746, 791, 86.90, 8.80
2.35, 776, 790, 86.90, 8.80
2.40, 819, 782, 86.90, 8.80
2.45, 849, 768, 86.90, 8.80
2.50, 883, 747, 86.88, 8.80
2.55, 927, 711, 86.90, 8.80
2.60, 973, 655, 86.90, 8.80
2.65, 1007, 589, 86.90, 8.80
2.70, 1019, 520, 86.90, 8.80
2.75, 1031, 469, 86.88, 8.80
2.80, 1052, 443, 86.90, 8.80
2.85, 1078, 446, 86.88, 8.80
2.90, 1101, 467, 86.88, 8.80
2.95, 1126, 495, 86.90, 8.80
3.00, 1149, 521, 86.88, 8.80
3.05, 1178, 538, 86.88, 8.80
3.10, 1211, 544, 86.90, 8.80
3.15, 1238, 541, 86.88, 8.80
3.20, 1265, 531, 86.88, 8.80
3.25, 1290, 518, 86.88, 8.80
3.30, 1313, 509, 86.88, 8.80
3.35, 1335, 504, 86.88, 8.80
3.40, 1363, 504, 86.88, 8.80
3.45, 1390, 508, 86.88, 8.80
3.50, 1415, 511, 86.88, 8.80
3.55, 1441, 512, 86.88, 8.80
3.60, 1463, 513, 86.88, 8.80
3.65, 1491, 512, 86.88, 8.80
3.70, 1519, 509, 86.88, 8.80
3.75, 1544, 504, 86.88, 8.80
3.80, 1568, 499, 86.88, 8.80
3.85, 1591, 494, 86.88, 8.80
