# Simulation 7 (Up to date)
# 558 data points written for 8 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter.
#   Recovery device deployment at high speed (83.3 ft/s)
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Gravitational acceleration (ft/s^2),Mass (oz),Thrust (N),Drag force (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,33.485,32.127,198.95,112.8,0
0.01,0.0016743,0.33485,148.47,32.127,198.95,310.46,2.4936e-6
0.02,0.012447,1.8198,191.57,32.127,198.92,384.49,3.4663e-4
0.03,0.040226,3.736,187.71,32.127,198.86,377.75,0.0024584
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.086974,5.6137,186.19,32.127,198.79,375.02,0.0068372
0.05,0.15242,7.4762,185.04,32.127,198.73,372.93,0.013336
0.06,0.23644,9.3271,185.61,32.127,198.67,373.81,0.021707
0.07,0.33899,11.184,189.77,32.127,198.6,380.83,0.031643
0.08,0.46032,13.082,194.03,32.127,198.54,388.03,0.043118
0.09,0.60085,15.023,198.3,32.127,198.47,395.23,0.056003
0.1,0.76099,17.007,202.57,32.127,198.4,402.43,0.070205
0.11,0.94119,19.033,206.84,32.127,198.34,409.63,0.08572
0.12,1.1419,21.102,210,32.127,198.27,414.92,0.10254
0.13,1.3634,23.203,211.53,32.127,198.2,417.42,0.12057
0.14,1.606,25.319,213.06,32.127,198.13,419.9,0.13956
0.15,1.8698,27.45,214.59,32.127,198.05,422.38,0.15918
0.16,2.1551,29.596,216.12,32.127,197.98,424.86,0.17871
0.17,2.4618,31.758,217.65,32.127,197.91,427.34,0.19879
0.18,2.7903,33.936,219.18,32.127,197.84,429.78,0.21957
0.18967,3.1286,36.055,220.64,32.127,197.76,432.1,0.24044
# Event LAUNCHROD occurred at t=0.19877 seconds
0.19877,3.4659,38.063,221.99,32.127,197.69,434.92,0.26087
0.21242,4.0061,41.098,224.39,32.127,197.61,439.15,0.29814
0.23289,4.8946,45.703,227.98,32.127,197.49,445.5,0.36013
0.2636,6.406,52.729,231.96,32.127,197.3,451.42,0.46606
0.30967,9.0817,63.443,235.26,32.127,197.01,456.03,0.65438
0.35967,12.548,75.229,238.56,32.127,196.64,460.82,0.89802
0.40967,16.608,87.175,241.82,32.127,196.25,465.72,1.182
0.45967,21.27,99.284,249.59,32.127,195.86,478.28,1.5111
0.50967,26.546,111.78,258.5,32.126,195.46,492.73,1.8861
0.55967,32.459,124.73,261.84,32.126,195.05,497.76,2.3245
0.60967,39.023,137.84,264.47,32.126,194.63,501.63,2.82
0.65967,46.246,151.08,266.32,32.126,194.21,504.2,3.3772
0.70967,54.133,164.41,268.22,32.126,193.78,506.9,3.9856
0.75967,62.689,177.84,275.55,32.126,193.35,518.74,4.6508
0.80967,71.926,191.64,282.3,32.126,192.92,529.62,5.3957
0.85967,81.861,205.77,281.18,32.126,192.47,527.42,6.2142
0.90967,92.502,219.84,281.91,32.126,192.03,528.39,7.0935
0.95967,103.85,233.95,285.12,32.126,191.58,533.56,8.0391
1.0097,115.9,248.22,288.62,32.126,191.13,539.28,9.0641
1.0597,128.67,262.67,285.87,32.126,190.67,534.79,10.172
1.1097,142.16,276.97,287.08,32.126,190.22,536.91,11.341
1.1597,156.37,291.33,287.49,32.126,189.76,537.78,12.581
1.2097,171.3,305.72,287.39,32.126,189.31,537.78,13.884
1.2597,186.94,320.1,286.96,32.126,188.85,537.28,15.253
1.3097,203.31,334.46,282.63,32.126,188.4,530.41,16.68
1.3597,220.38,348.6,277.3,32.126,187.95,521.92,18.15
1.4097,238.16,362.47,276.02,32.126,187.5,520.05,19.655
1.4597,256.63,376.28,276.17,32.126,187.06,520.48,21.216
1.5097,275.79,390.1,274.66,32.126,186.62,518.29,22.849
1.5597,295.64,403.84,272.56,32.126,186.18,515.24,24.545
1.6097,316.17,417.47,268.39,32.126,185.74,508.95,26.305
1.6597,337.38,430.9,258.91,32.126,185.31,494.32,28.107
1.7097,359.25,443.84,255.48,32.125,184.88,489.5,29.902
1.7597,381.76,456.62,249.2,32.125,184.47,480.25,31.727
1.8097,404.9,469.07,242.15,32.125,184.06,469.92,33.557
1.8597,428.66,481.17,234.32,32.125,183.65,458.51,35.387
1.9097,453.01,492.88,226.55,32.125,183.26,447.3,37.223
1.9597,477.94,504.2,220.57,32.125,182.87,439.05,39.058
2.0097,503.42,515.22,218.13,32.125,182.5,436.4,40.902
2.0597,529.46,526.12,205.13,32.125,182.13,417.03,42.77
2.1097,556.02,536.36,159.56,32.125,181.77,346.36,44.563
2.1597,583.04,544.34,87.499,32.125,181.45,233.98,45.975
2.2097,610.36,548.71,15.561,32.125,181.2,121.56,46.742
2.2597,637.82,549.49,-46.092,32.125,181.05,24.901,46.852
2.3097,665.23,547.19,-61.637,32.125,180.98,0.016273,46.397
# Event BURNOUT occurred at t=2.3597 seconds
2.3597,692.52,544.12,-61.237,32.124,180.97,0,45.804
2.4097,719.65,541.07,-60.869,32.124,180.97,0,45.207
2.4597,746.62,538.03,-60.524,32.124,180.97,0,44.618
2.5097,773.45,535.01,-60.208,32.124,180.97,0,44.038
2.5597,800.13,532.01,-59.92,32.124,180.97,0,43.471
2.6097,826.65,529.02,-59.64,32.124,180.97,0,42.917
2.6597,853.03,526.05,-59.353,32.124,180.97,0,42.372
2.7097,879.26,523.09,-59.014,32.124,180.97,0,41.828
2.7597,905.34,520.15,-58.63,32.124,180.97,0,41.286
2.8097,931.27,517.23,-58.21,32.124,180.97,0,40.751
2.8597,957.06,514.33,-57.803,32.124,180.97,0,40.228
2.9097,982.7,511.45,-57.431,32.124,180.97,0,39.714
2.9597,1008.2,508.58,-57.073,32.123,180.97,0,39.211
3.0097,1033.6,505.74,-56.73,32.123,180.97,0,38.719
