# heavy ouch (Up to date)
# 481 data points written for 8 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter.
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Gravitational acceleration (ft/s^2),Mass (oz),Thrust (N),Drag force (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,33.485,32.127,198.95,112.8,0
0.01,0.0016743,0.33485,148.47,32.127,198.95,310.46,2.4584e-6
0.02,0.012447,1.8198,191.57,32.127,198.92,384.49,3.3931e-4
0.03,0.040226,3.736,187.71,32.127,198.86,377.75,0.0024003
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.086974,5.6137,186.19,32.127,198.79,375.02,0.0066782
0.05,0.15242,7.4762,185.04,32.127,198.73,372.93,0.013056
0.06,0.23644,9.3271,185.61,32.127,198.67,373.81,0.021395
0.07,0.33899,11.184,189.77,32.127,198.6,380.83,0.031355
0.08,0.46032,13.082,194.03,32.127,198.54,388.03,0.042906
0.09,0.60085,15.023,198.3,32.127,198.47,395.23,0.055913
0.1,0.76099,17.007,202.57,32.127,198.4,402.43,0.070272
0.11,0.94119,19.033,206.84,32.127,198.34,409.63,0.085873
0.12,1.1419,21.102,210,32.127,198.27,414.92,0.10264
0.13,1.3634,23.203,211.53,32.127,198.2,417.42,0.12042
0.14,1.606,25.319,213.06,32.127,198.13,419.9,0.13885
0.15,1.8698,27.45,214.59,32.127,198.05,422.38,0.15753
0.16,2.1551,29.597,216.12,32.127,197.98,424.86,0.17698
0.17,2.4618,31.758,217.65,32.127,197.91,427.34,0.19715
0.18,2.7903,33.936,219.18,32.127,197.84,429.78,0.21817
0.18967,3.1286,36.055,220.64,32.127,197.76,432.1,0.23937
# Event LAUNCHROD occurred at t=0.19877 seconds
0.19877,3.4659,38.063,221.99,32.127,197.69,434.92,0.26018
0.21242,4.0061,41.098,224.39,32.127,197.61,439.15,0.29755
0.23289,4.8946,45.703,227.98,32.127,197.49,445.5,0.35967
0.2636,6.406,52.729,231.96,32.127,197.3,451.42,0.4634
0.30967,9.0817,63.443,235.27,32.127,197.01,456.03,0.64533
0.35967,12.548,75.229,238.56,32.127,196.64,460.82,0.89053
0.40967,16.608,87.175,241.82,32.127,196.25,465.72,1.1685
0.45967,21.27,99.285,249.6,32.127,195.86,478.28,1.4934
0.50967,26.547,111.78,258.51,32.126,195.46,492.73,1.8698
0.55967,32.459,124.73,261.84,32.126,195.05,497.76,2.3156
0.60967,39.023,137.84,264.48,32.126,194.63,501.63,2.8153
0.65967,46.246,151.08,266.32,32.126,194.21,504.2,3.3676
0.70967,54.134,164.42,268.22,32.126,193.78,506.9,3.9729
0.75967,62.69,177.84,275.56,32.126,193.35,518.74,4.6355
0.80967,71.927,191.64,282.31,32.126,192.92,529.62,5.3823
0.85967,81.862,205.77,281.19,32.126,192.47,527.42,6.2057
0.90967,92.503,219.85,281.93,32.126,192.03,528.39,7.0874
0.95967,103.85,233.96,285.16,32.126,191.58,533.56,8.0364
1.0097,115.9,248.23,288.68,32.126,191.13,539.28,9.0616
1.0597,128.68,262.68,285.96,32.126,190.67,534.79,10.168
1.1097,142.17,276.99,287.22,32.126,190.22,536.91,11.331
1.1597,156.38,291.36,287.67,32.126,189.76,537.78,12.566
1.2097,171.3,305.75,287.57,32.126,189.31,537.78,13.87
1.2597,186.95,320.14,287.15,32.126,188.85,537.28,15.239
1.3097,203.32,334.51,282.82,32.126,188.4,530.41,16.668
1.3597,220.4,348.66,277.5,32.126,187.95,521.92,18.137
1.4097,238.18,362.55,276.21,32.126,187.5,520.05,19.645
1.4597,256.65,376.36,276.3,32.126,187.06,520.48,21.213
1.5097,275.81,390.19,274.75,32.126,186.62,518.29,22.849
1.5597,295.67,403.93,272.61,32.126,186.18,515.24,24.547
1.6097,316.2,417.57,268.4,32.126,185.74,508.95,26.304
1.6597,337.42,430.99,258.92,32.126,185.31,494.32,28.106
1.7097,359.29,443.94,255.47,32.125,184.88,489.5,29.897
1.7597,381.81,456.71,249.17,32.125,184.47,480.25,31.715
1.8097,404.95,469.16,242.12,32.125,184.06,469.92,33.553
1.8597,428.72,481.26,234.31,32.125,183.65,458.51,35.391
1.9097,453.07,492.97,226.55,32.125,183.26,447.3,37.227
1.9597,478,504.29,220.62,32.125,182.87,439.05,39.063
2.0097,503.49,515.31,218.22,32.125,182.5,436.4,40.903
2.0597,529.53,526.21,205.22,32.125,182.13,417.03,42.77
2.1097,556.1,536.47,159.62,32.125,181.77,346.36,44.564
2.1597,583.12,544.44,87.561,32.125,181.45,233.98,45.979
2.2097,610.45,548.82,15.61,32.125,181.2,121.56,46.753
2.2597,637.91,549.6,-46.086,32.125,181.05,24.901,46.864
2.3097,665.34,547.3,-61.659,32.125,180.98,0.016278,46.406
# Event BURNOUT occurred at t=2.3597 seconds
2.3597,692.62,544.23,-61.281,32.124,180.97,0,45.804
2.4097,719.76,541.17,-60.92,32.124,180.97,0,45.207
2.4597,746.74,538.14,-60.598,32.124,180.97,0,44.614
2.5097,773.57,535.11,-60.278,32.124,180.97,0,44.037
2.5597,800.25,532.11,-59.96,32.124,180.97,0,43.471
2.6097,826.78,529.12,-59.623,32.124,180.97,0,42.913
2.6597,853.17,526.15,-59.274,32.124,180.97,0,42.361
2.7097,879.4,523.19,-58.926,32.124,180.97,0,41.813
2.7597,905.49,520.25,-58.538,32.124,180.97,0,41.272
2.8097,931.42,517.34,-58.136,32.124,180.97,0,40.745
2.8597,957.22,514.44,-57.767,32.124,180.97,0,40.226
2.9097,982.87,511.56,-57.426,32.124,180.97,0,39.712
2.9597,1008.4,508.7,-57.107,32.123,180.97,0,39.203
3.0097,1033.7,505.85,-56.791,32.123,180.97,0,38.703
