# ouch (Up to date)
# 484 data points written for 8 variables.
# Simulation warnings:
#   Discontinuity in rocket body diameter.
#
Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s^2),Gravitational acceleration (ft/s^2),Mass (oz),Thrust (N),Drag force (N)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,34.131,32.127,197.01,112.8,0
0.01,0.0017065,0.34131,150.25,32.127,197.01,310.46,2.7271e-6
0.02,0.012633,1.844,193.77,32.127,196.98,384.49,3.7589e-4
0.03,0.040764,3.7823,189.87,32.127,196.92,377.75,0.0026584
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.088083,5.6816,188.34,32.127,196.86,375.02,0.0073487
0.05,0.15432,7.5656,187.18,32.127,196.79,372.93,0.014212
0.06,0.23934,9.4379,187.76,32.127,196.73,373.81,0.022759
0.07,0.34311,11.316,191.95,32.127,196.66,380.83,0.032795
0.08,0.46587,13.236,196.26,32.127,196.6,388.03,0.044325
0.09,0.60804,15.199,200.57,32.127,196.53,395.23,0.057255
0.1,0.77007,17.206,204.89,32.127,196.46,402.43,0.071525
0.11,0.95238,19.255,209.2,32.127,196.4,409.63,0.087081
0.12,1.1554,21.348,212.39,32.127,196.33,414.92,0.10391
0.13,1.3795,23.472,213.94,32.127,196.26,417.42,0.12187
0.14,1.6249,25.613,215.48,32.127,196.19,419.9,0.14046
0.15,1.8918,27.768,217.03,32.127,196.12,422.38,0.15969
0.16,2.1804,29.939,218.57,32.127,196.04,424.86,0.17979
0.17,2.4907,32.126,220.12,32.127,195.97,427.34,0.2008
0.18,2.8229,34.327,221.66,32.127,195.9,429.76,0.2228
0.18956,3.1612,36.446,223.11,32.127,195.82,432.07,0.24482
# Event LAUNCHROD occurred at t=0.19856 seconds
0.19856,3.4983,38.455,224.47,32.127,195.76,434.85,0.26666
0.21206,4.038,41.491,226.86,32.127,195.67,439.04,0.30342
0.23232,4.925,46.096,230.46,32.127,195.55,445.32,0.36342
0.2627,6.4321,53.122,234.51,32.127,195.37,451.31,0.46845
0.30827,9.097,63.838,237.81,32.127,195.08,455.89,0.65903
0.35827,12.587,75.752,241.16,32.127,194.71,460.68,0.8975
0.40827,16.676,87.828,244.43,32.127,194.32,465.54,1.19
0.45827,21.373,100.07,252.09,32.127,193.93,477.79,1.527
0.50827,26.692,112.69,261.23,32.126,193.53,492.48,1.9115
0.55827,32.654,125.77,264.68,32.126,193.12,497.64,2.3549
0.60827,39.274,139.03,267.36,32.126,192.7,501.54,2.8707
0.65827,46.559,152.41,269.23,32.126,192.28,504.13,3.435
0.70827,54.517,165.89,271.14,32.126,191.85,506.82,4.0597
0.75827,63.151,179.47,278.1,32.126,191.42,517.9,4.7318
0.80827,72.472,193.39,285.61,32.126,190.99,529.93,5.4889
0.85827,82.499,207.69,284.27,32.126,190.55,527.41,6.3308
0.90827,93.239,221.92,284.97,32.126,190.1,528.32,7.2314
0.95827,104.69,236.18,288.16,32.126,189.65,533.39,8.1959
1.0083,116.86,250.6,291.76,32.126,189.2,539.23,9.2408
1.0583,129.76,265.2,289.07,32.126,188.75,534.89,10.371
1.1083,143.38,279.67,290.18,32.126,188.29,536.84,11.564
1.1583,157.72,294.19,290.63,32.126,187.84,537.78,12.832
1.2083,172.8,308.73,290.5,32.126,187.38,537.78,14.163
1.2583,188.6,323.26,290.1,32.126,186.93,537.36,15.563
1.3083,205.12,337.78,285.82,32.126,186.47,530.66,17.023
1.3583,222.37,352.08,280.37,32.126,186.02,522.1,18.526
1.4083,240.32,366.11,278.96,32.126,185.58,520.03,20.064
1.4583,258.98,380.06,279.12,32.126,185.13,520.5,21.659
1.5083,278.33,394.03,277.63,32.126,184.69,518.38,23.329
1.5583,298.38,407.92,275.47,32.126,184.25,515.32,25.062
1.6083,319.12,421.69,271.45,32.126,183.82,509.37,26.859
1.6583,340.54,435.27,261.72,32.126,183.38,494.49,28.709
1.7083,362.63,448.36,258.25,32.125,182.95,489.7,30.54
1.7583,385.38,461.27,251.91,32.125,182.54,480.52,32.405
1.8083,408.75,473.86,244.79,32.125,182.13,470.23,34.277
1.8583,432.75,486.09,236.89,32.125,181.73,458.83,36.16
1.9083,457.35,497.93,229,32.125,181.33,447.61,38.036
1.9583,482.54,509.37,222.82,32.125,180.95,439.16,39.915
2.0083,508.28,520.5,220.32,32.125,180.57,436.5,41.801
2.0583,534.58,531.5,207.86,32.125,180.2,418.31,43.715
2.1083,561.42,541.89,162.7,32.125,179.84,349.06,45.554
2.1583,588.72,550.02,90.107,32.125,179.52,237.07,47.011
2.2083,616.33,554.52,17.599,32.125,179.27,124.95,47.813
2.2583,644.08,555.4,-45.849,32.125,179.11,26.551,47.948
2.3083,671.79,553.12,-62.595,32.125,179.05,0.068416,47.496
# Event BURNOUT occurred at t=2.3583 seconds
2.3583,699.37,550,-62.237,32.124,179.03,0,46.875
2.4083,726.79,546.9,-61.855,32.124,179.03,0,46.26
2.4583,754.06,543.81,-61.521,32.124,179.03,0,45.645
2.5083,781.17,540.74,-61.22,32.124,179.03,0,45.046
2.5583,808.13,537.69,-60.927,32.124,179.03,0,44.467
2.6083,834.94,534.65,-60.629,32.124,179.03,0,43.898
2.6583,861.6,531.63,-60.296,32.124,179.03,0,43.333
2.7083,888.1,528.62,-59.921,32.124,179.03,0,42.768
2.7583,914.46,525.64,-59.463,32.124,179.03,0,42.206
2.8083,940.67,522.68,-59.012,32.124,179.03,0,41.659
2.8583,966.73,519.74,-58.603,32.124,179.03,0,41.127
2.9083,992.64,516.81,-58.231,32.124,179.03,0,40.602
2.9583,1018.4,513.91,-57.891,32.123,179.03,0,40.08
3.0083,1044,511.03,-57.565,32.123,179.03,0,39.566
3.0583,1069.5,508.15,-57.265,32.123,179.03,0,39.055
