timestamp,gs.rssi,comms.recd,tpc.state,fc.pwr,tpc.gps,tpc.bat_v,tpc.bat_v_avgd,comms.sent,fc.state,fc.alt,gs.log
0,-68,136,0,0,"$GPGGA,204612.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6D",15.875592,15.875592,,,,
500038,-68,192,0,0,,15.894936,15.885264,,,,
1000038,-69,328,0,0,"$GPGGA,204613.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6C",15.880427,15.88365167,,,,
1500053,-69,384,0,0,,15.870756,15.88042775,,,,
2000062,-68,520,0,0,"$GPGGA,204614.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6B",15.904608,15.8852638,,,,
2500086,-69,576,0,0,,15.817559,15.87397967,,,,
3000137,-68,712,0,0,"$GPGGA,204615.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6A",15.91428,15.87973686,,,,
3500164,-68,768,0,0,,15.827231,15.87317363,,,,
4000230,-67,904,0,0,"$GPGGA,204616.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*69",15.875592,15.87344233,,,,
4500234,-67,960,0,0,,15.899772,15.8760753,,,,
5000262,-66,1096,0,0,"$GPGGA,204617.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*68",15.861084,15.87471245,,,,
5500277,-66,1152,0,0,,15.894936,15.87639775,,,,
6000319,-66,1288,0,0,"$GPGGA,204618.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*67",15.832067,15.87298769,,,,
6500359,-66,1344,0,0,,15.832067,15.87006479,,,,
7000403,-66,1480,0,0,"$GPGGA,204619.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*66",15.880427,15.8707556,,,,
7500463,-66,1536,0,0,,15.909444,15.87317363,,,,
8000472,-67,1672,0,0,"$GPGGA,204620.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6C",15.91428,15.87559165,,,,
8500482,-66,1728,0,0,,15.817559,15.87236761,,,,
9000500,-66,1864,0,0,"$GPGGA,204621.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6D",15.8901,15.87330089,,,,
9500547,-67,1920,0,0,,15.812723,15.870272,,,,
10000605,-67,2056,0,0,"$GPGGA,204622.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6E",15.899772,15.87167676,,,,
11000675,-80,2192,0,0,"$GPGGA,204623.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6F",15.909444,15.87339345,,,,
11500715,-80,2248,0,0,,15.86592,15.87306852,,,,
12000720,-82,2384,0,0,"$GPGGA,204624.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*68",15.798215,15.86994963,,,,
12500774,-81,2440,0,0,,15.870756,15.86998188,,,,
13000797,-81,2576,0,0,"$GPGGA,204625.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*69",15.827231,15.86833762,,,,
13500801,-81,2632,0,0,,15.899772,15.86950185,,,,
14000838,-81,2768,0,0,"$GPGGA,204626.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6A",15.870756,15.86954664,,,,
14500880,-81,2824,0,0,,15.928788,15.87158945,,,,
15000922,-81,2960,0,0,"$GPGGA,204627.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*6B",15.933624,15.87365727,,,,
15500955,-67,3016,0,0,,15.948133,15.8760753,,,,
16000993,-66,3152,0,0,"$GPGGA,204628.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*64",15.8901,15.8759141,,,,
16500996,-66,3208,0,0,,15.928788,15.87752613,,,,
17001027,-66,3344,0,0,"$GPGGA,204629.000,3630.7342,N,12004.0533,W,2,12,0.73,50.7,M,-26.9,M,0000,0000*65",15.91428,15.87897693,,,,
